# frequency amplitude_GR amplitude_mod_GR
2.480000000000000071e+01 1.684068080685688924e-23 1.722919668781774626e-23
2.490000000000000213e+01 1.489596049863969156e-23 1.529947860750348045e-23
2.500000000000000000e+01 8.158873681445146964e-24 8.508569850052448078e-24
2.510000000000000142e+01 1.073982751858216992e-23 1.057956427231503479e-23
2.520000000000000284e+01 1.301613580405954945e-23 1.304993285226564720e-23
2.530000000000000071e+01 1.639097664186577378e-23 1.627599159536822519e-23
2.540000000000000213e+01 1.936946402942606364e-23 1.959680282057137960e-23
2.550000000000000000e+01 1.548149726816258147e-23 1.574392320658432401e-23
2.560000000000000142e+01 1.437764424130222018e-23 1.453348954527225918e-23
2.570000000000000284e+01 1.042728184970886083e-23 1.075466401334276972e-23
2.580000000000000071e+01 9.840279021833464793e-24 9.470492993058184904e-24
2.590000000000000213e+01 1.505219109745456001e-23 1.492272679791546387e-23
2.600000000000000000e+01 1.655130652534397624e-23 1.639230203868674038e-23
2.610000000000000142e+01 2.105571717711260470e-23 2.104390866639383860e-23
2.620000000000000284e+01 2.014103567133006991e-23 2.056727741807226101e-23
2.630000000000000071e+01 1.558227303852692564e-23 1.587384084601848690e-23
2.640000000000000213e+01 1.437951360340442630e-23 1.469707386355179621e-23
2.650000000000000000e+01 9.986580265550575474e-24 1.024675628973727515e-23
2.660000000000000142e+01 1.239194515174489845e-23 1.208285126005074276e-23
2.670000000000000284e+01 1.647733552675315517e-23 1.652676705957756429e-23
2.680000000000000071e+01 1.655313532288479501e-23 1.663535336626150716e-23
2.690000000000000213e+01 1.899261012916787704e-23 1.913666383906287171e-23
2.700000000000000000e+01 1.834286351593421523e-23 1.886918450267394467e-23
2.710000000000000142e+01 1.304705238394357504e-23 1.355062923850038215e-23
2.720000000000000284e+01 1.087413213309003635e-23 1.112519215953416354e-23
2.730000000000000071e+01 8.928614675059801131e-24 9.292538470152111554e-24
2.740000000000000213e+01 6.652430176779594493e-24 6.547094659668363344e-24
2.750000000000000000e+01 1.148812994726250010e-23 1.131824823861935255e-23
2.760000000000000142e+01 1.383762555011145769e-23 1.394778343345191081e-23
2.770000000000000284e+01 1.372067466649113976e-23 1.377283426463771612e-23
2.780000000000000071e+01 1.594644943272467537e-23 1.598009410266168095e-23
2.790000000000000213e+01 1.662496929110164153e-23 1.693213597714458324e-23
2.800000000000000000e+01 1.303253951930719819e-23 1.343414664550162917e-23
2.810000000000000142e+01 1.017972894657443273e-23 1.030392560858965898e-23
2.820000000000000284e+01 1.001177021993033491e-23 1.014634290266789510e-23
2.830000000000000071e+01 7.679747778002889170e-24 7.808141932609191586e-24
2.840000000000000213e+01 8.681266595195693099e-24 8.273832721635217519e-24
2.850000000000000000e+01 1.368988086754808843e-23 1.343617841091368073e-23
2.860000000000000142e+01 1.547989979663297882e-23 1.549704858797581619e-23
2.870000000000000284e+01 1.561230782751093607e-23 1.558638597320115216e-23
2.880000000000000071e+01 1.763388276168136231e-23 1.763657769267990584e-23
2.890000000000000213e+01 1.822976365736308671e-23 1.856481699638306547e-23
2.900000000000000000e+01 1.488445133697804445e-23 1.540920501366955469e-23
2.910000000000000142e+01 1.135367950941189335e-23 1.162432191737252801e-23
2.920000000000000284e+01 1.107531673207524755e-23 1.120937125610767282e-23
2.930000000000000071e+01 9.969583642230158818e-24 1.020680949956305712e-23
2.940000000000000213e+01 8.806620517473862963e-24 8.678106670498774177e-24
2.950000000000000000e+01 1.233468489393149084e-23 1.201412465449719043e-23
2.960000000000000142e+01 1.571389307440802988e-23 1.571059587956134633e-23
2.970000000000000284e+01 1.588073110231018230e-23 1.611135617954108264e-23
2.980000000000000071e+01 1.526059353174951899e-23 1.543209115585066986e-23
2.990000000000000213e+01 1.621200074150350755e-23 1.640413095910426002e-23
3.000000000000000000e+01 1.627153269420699479e-23 1.672966407278199328e-23
3.010000000000000142e+01 1.336577315633747359e-23 1.400983318108651495e-23
3.020000000000000284e+01 9.370431505625732916e-24 9.851750447339412177e-24
3.030000000000000071e+01 8.110706452041439204e-24 8.279631821198963018e-24
3.040000000000000213e+01 8.198478591190806001e-24 8.410731918197381614e-24
3.050000000000000000e+01 6.891190813525606910e-24 7.091692321848258131e-24
3.060000000000000142e+01 7.054857493997129077e-24 6.882709083571280247e-24
3.070000000000000284e+01 1.036147368466352983e-23 1.017591567756867645e-23
3.080000000000000071e+01 1.292365161816600610e-23 1.299346076148258947e-23
3.090000000000000213e+01 1.313392990712941843e-23 1.338354988448135492e-23
3.100000000000000000e+01 1.229199780008089644e-23 1.250150973222108235e-23
3.110000000000000142e+01 1.259239685734134218e-23 1.270040932570408027e-23
3.120000000000000284e+01 1.361270489529638885e-23 1.381165737292098610e-23
3.130000000000000071e+01 1.324092649054750167e-23 1.363128564007007271e-23
3.140000000000000213e+01 1.081296699777297389e-23 1.129502798029836429e-23
3.150000000000000000e+01 7.776411991360157903e-24 8.109964033159653018e-24
3.160000000000000142e+01 6.702207616426956476e-24 6.752806937347214328e-24
3.170000000000000284e+01 7.115614723438093792e-24 7.156550854575707142e-24
3.180000000000000071e+01 6.568876860459825848e-24 6.683512015165857035e-24
3.190000000000000213e+01 5.649791914708663790e-24 5.555187807635618492e-24
3.200000000000000000e+01 7.355233133043715818e-24 6.976380665749136143e-24
3.210000000000000142e+01 1.060558561165688287e-23 1.031935015162686399e-23
3.220000000000000284e+01 1.278752965068878001e-23 1.272528643877448166e-23
3.230000000000000426e+01 1.318173773106252208e-23 1.327790645504167040e-23
3.239999999999999858e+01 1.274954868710100811e-23 1.283186645279102305e-23
3.250000000000000000e+01 1.307644393007987026e-23 1.306822112705580522e-23
3.260000000000000142e+01 1.421871585810060656e-23 1.426926223749031579e-23
3.270000000000000284e+01 1.467816173250974541e-23 1.493837215933773217e-23
3.280000000000000426e+01 1.343637501195050302e-23 1.389755039446175502e-23
3.289999999999999858e+01 1.084855461963731255e-23 1.134378130198311827e-23
3.300000000000000000e+01 8.559739516617677573e-24 8.839962204127215310e-24
3.310000000000000142e+01 8.126783478127269489e-24 8.163485914049111572e-24
3.320000000000000284e+01 8.535516757495506871e-24 8.589450481784143264e-24
3.330000000000000426e+01 8.148217479588041933e-24 8.287994599260904659e-24
3.339999999999999858e+01 7.252922864906437324e-24 7.266046267122750390e-24
3.350000000000000000e+01 7.833922185786580664e-24 7.525867597340867081e-24
3.360000000000000142e+01 1.028746377121712625e-23 9.925927779511242208e-24
3.370000000000000284e+01 1.274150867485505135e-23 1.257622289948104630e-23
3.380000000000000426e+01 1.394073453174735291e-23 1.401771357783575067e-23
3.389999999999999858e+01 1.379956127312452402e-23 1.402379313698641820e-23
3.400000000000000000e+01 1.316061650777127562e-23 1.337572428293437054e-23
3.410000000000000142e+01 1.309390783714268090e-23 1.322929988452316360e-23
3.420000000000000284e+01 1.373068996767306032e-23 1.389134038539892288e-23
3.430000000000000426e+01 1.415849298255398644e-23 1.448424772170666099e-23
3.439999999999999858e+01 1.351840691799032309e-23 1.404571204680170094e-23
3.450000000000000000e+01 1.165777940245653679e-23 1.230494402305733574e-23
3.460000000000000142e+01 9.195694296892081454e-24 9.793447459889878761e-24
3.470000000000000284e+01 7.346148830974046076e-24 7.705492454160369624e-24
3.480000000000000426e+01 6.990200087999567017e-24 7.119967363503353554e-24
3.489999999999999858e+01 7.344510195086450839e-24 7.467421221492556197e-24
3.500000000000000000e+01 7.227492769243287542e-24 7.438883004270578382e-24
3.510000000000000142e+01 6.474408773655757649e-24 6.676281846670609592e-24
3.520000000000000284e+01 6.025400845208255969e-24 6.007664185456509157e-24
3.530000000000000426e+01 7.018985302466165586e-24 6.776638965704918495e-24
3.539999999999999858e+01 8.996251390033133741e-24 8.777890082357430755e-24
3.550000000000000000e+01 1.079283435031676228e-23 1.075005503879352752e-23
3.560000000000000142e+01 1.174442921187178976e-23 1.190227237564874745e-23
3.570000000000000284e+01 1.174239151893097363e-23 1.204288653483973830e-23
3.580000000000000426e+01 1.113567657461148347e-23 1.147306481353362819e-23
3.589999999999999858e+01 1.056325857551995915e-23 1.083827528107371399e-23
3.600000000000000000e+01 1.054721014201618369e-23 1.074571465320537667e-23
3.610000000000000142e+01 1.102320757676552111e-23 1.123061780974462424e-23
3.620000000000000284e+01 1.144912903882592669e-23 1.175968960187463851e-23
3.630000000000000426e+01 1.131127085523310690e-23 1.176054521441469747e-23
3.639999999999999858e+01 1.039440513947850886e-23 1.095461113493071003e-23
3.650000000000000000e+01 8.808692776669222140e-24 9.405676229737612925e-24
3.660000000000000142e+01 6.950929485426352302e-24 7.481225027081709308e-24
3.670000000000000284e+01 5.452223581423528254e-24 5.806451456586079801e-24
3.680000000000000426e+01 4.887787008671359398e-24 5.041671357755151575e-24
3.689999999999999858e+01 5.062672328198275855e-24 5.150232468937256283e-24
3.700000000000000000e+01 5.220518835751938156e-24 5.360337457619111706e-24
3.710000000000000142e+01 4.912250231262002333e-24 5.115630035872218942e-24
3.720000000000000284e+01 4.182093922659385173e-24 4.368524957828030935e-24
3.730000000000000426e+01 3.609993925739335082e-24 3.615407275839894326e-24
3.739999999999999858e+01 4.086932079265031032e-24 3.852604674335966533e-24
3.750000000000000000e+01 5.527389912350696942e-24 5.247678224107538031e-24
3.760000000000000142e+01 7.155174813465458276e-24 6.963843187282619739e-24
3.770000000000000284e+01 8.463226650057135353e-24 8.403846639062747933e-24
3.780000000000000426e+01 9.223383660761932411e-24 9.291936547251478008e-24
3.789999999999999858e+01 9.412605202773107635e-24 9.572258742954375548e-24
3.800000000000000000e+01 9.189679565922145436e-24 9.380049014894407055e-24
3.810000000000000142e+01 8.862675745686267847e-24 9.016646709629041529e-24
3.820000000000000284e+01 8.780851533682242237e-24 8.858257305322786336e-24
3.830000000000000426e+01 9.125674785179610469e-24 9.146728581896403160e-24
3.840000000000000568e+01 9.775545671532488374e-24 9.807260901757491349e-24
3.850000000000000000e+01 1.042182215403116751e-23 1.053015551920526424e-23
